H,condition,distance,layer,metric,sample_id
0,permutation_seed=13,0.0,pooled,wasserstein,0
1,permutation_seed=13,0.0,pooled,wasserstein,0
0,permutation_seed=14,15.0311894324665,conv1,wasserstein,0
1,permutation_seed=14,10.48483094518869,conv1,wasserstein,0
0,permutation_seed=14,14.906754910945892,conv2,wasserstein,0
1,permutation_seed=14,12.75541132682061,conv2,wasserstein,0
0,permutation_seed=14,28.90283279120922,conv3,wasserstein,0
1,permutation_seed=14,11.67158201144536,conv3,wasserstein,0
0,permutation_seed=14,0.0,pooled,wasserstein,0
1,permutation_seed=14,0.0,pooled,wasserstein,0
0,permutation_seed=15,12.2586123123765,conv1,wasserstein,0
1,permutation_seed=15,9.916059108850831,conv1,wasserstein,0
0,permutation_seed=15,14.126534506678581,conv2,wasserstein,0
1,permutation_seed=15,12.87308207621429,conv2,wasserstein,0
0,permutation_seed=15,30.653252698481083,conv3,wasserstein,0
1,permutation_seed=15,13.632793166248868,conv3,wasserstein,0
0,permutation_seed=15,0.0,pooled,wasserstein,0
1,permutation_seed=15,0.0,pooled,wasserstein,0
0,permutation_seed=16,9.051655009388924,conv1,wasserstein,0
1,permutation_seed=16,8.529948271906076,conv1,wasserstein,0
0,permutation_seed=16,22.976378849044927,conv2,wasserstein,0
1,permutation_seed=16,12.80348724969019,conv2,wasserstein,0
0,permutation_seed=16,26.581717679167923,conv3,wasserstein,0
1,permutation_seed=16,9.989665859156565,conv3,wasserstein,0
0,permutation_seed=16,0.0,pooled,wasserstein,0
1,permutation_seed=16,0.0,pooled,wasserstein,0
0,permutation_seed=17,10.307002201309553,conv1,wasserstein,0
1,permutation_seed=17,9.524795132853527,conv1,wasserstein,0
0,permutation_seed=17,13.610242374241352,conv2,wasserstein,0
1,permutation_seed=17,11.027397449060402,conv2,wasserstein,0
0,permutation_seed=17,22.949387304484844,conv3,wasserstein,0
1,permutation_seed=17,10.05934088813345,conv3,wasserstein,0
0,permutation_seed=17,0.0,pooled,wasserstein,0
1,permutation_seed=17,0.0,pooled,wasserstein,0
0,permutation_seed=18,9.346117968228235,conv1,wasserstein,0
1,permutation_seed=18,11.353811218947136,conv1,wasserstein,0
0,permutation_seed=18,29.032725892961025,conv2,wasserstein,0
1,permutation_seed=18,13.68763476653148,conv2,wasserstein,0
0,permutation_seed=18,30.815648182201773,conv3,wasserstein,0
1,permutation_seed=18,11.744933786322722,conv3,wasserstein,0
0,permutation_seed=18,0.0,pooled,wasserstein,0
1,permutation_seed=18,0.0,pooled,wasserstein,0
0,permutation_seed=19,7.9332583993673325,conv1,wasserstein,0
1,permutation_seed=19,9.815709617502755,conv1,wasserstein,0
0,permutation_seed=19,17.808488950133324,conv2,wasserstein,0
1,permutation_seed=19,12.804035545106837,conv2,wasserstein,0
0,permutation_seed=19,38.151230628241805,conv3,wasserstein,0
1,permutation_seed=19,9.888779322090201,conv3,wasserstein,0
0,permutation_seed=19,0.0,pooled,wasserstein,0
1,permutation_seed=19,0.0,pooled,wasserstein,0
0,permutation_seed=20,11.976441204547882,conv1,wasserstein,0
1,permutation_seed=20,10.38944786831747,conv1,wasserstein,0
0,permutation_seed=20,18.026034560753807,conv2,wasserstein,0
1,permutation_seed=20,12.910199878895943,conv2,wasserstein,0
0,permutation_seed=20,29.664744513647783,conv3,wasserstein,0
1,permutation_seed=20,10.19089111927418,conv3,wasserstein,0
0,permutation_seed=20,0.0,pooled,wasserstein,0
1,permutation_seed=20,0.0,pooled,wasserstein,0
0,permutation_seed=21,10.252072991997053,conv1,wasserstein,0
1,permutation_seed=21,8.50157141771776,conv1,wasserstein,0
0,permutation_seed=21,13.644324727356434,conv2,wasserstein,0
1,permutation_seed=21,12.981872551793368,conv2,wasserstein,0
0,permutation_seed=21,24.695991172854487,conv3,wasserstein,0
1,permutation_seed=21,10.360211280782035,conv3,wasserstein,0
0,permutation_seed=21,0.0,pooled,wasserstein,0
1,permutation_seed=21,0.0,pooled,wasserstein,0
0,permutation_seed=22,10.747048452496529,conv1,wasserstein,0
1,permutation_seed=22,7.920031127113757,conv1,wasserstein,0
0,permutation_seed=22,21.462066930127218,conv2,wasserstein,0
1,permutation_seed=22,13.816110548086813,conv2,wasserstein,0
0,permutation_seed=22,31.868783846497536,conv3,wasserstein,0
1,permutation_seed=22,14.63683973422841,conv3,wasserstein,0
0,permutation_seed=22,0.0,pooled,wasserstein,0
1,permutation_seed=22,0.0,pooled,wasserstein,0
0,permutation_seed=23,6.759272925555706,conv1,wasserstein,0
1,permutation_seed=23,7.916695534598222,conv1,wasserstein,0
0,permutation_seed=23,11.041535437107086,conv2,wasserstein,0
