Dataset,Feature,Clean Mean,Adv Mean,Cohen's d,|d|
Torus (2 holes),topo_h1_max_persistence,0.9033849050601324,0.9904658794403076,0.33870904198439106,0.33870904198439106
Torus (2 holes),topo_h1_total_persistence,3.7403519223133723,3.50553035736084,-0.24498443998151026,0.24498443998151026
Torus (2 holes),topo_h1_l2_persistence,1.4271412855790657,1.4612764395574889,0.09540645503462936,0.09540645503462936
Torus (2 holes),topo_h1_entropy,2.1069777842744175,1.9181511603319588,-1.156920035915358,1.156920035915358
Nested Spheres,topo_h0_count,60.0,60.0,0.0,0.0
Nested Spheres,topo_h0_max_persistence,0.9859852690488,1.0039544097984894,0.059637547892236166,0.059637547892236166
Nested Spheres,topo_h0_total_persistence,29.61437128663615,29.868940069799937,0.02854677631150264,0.02854677631150264
Nested Spheres,topo_h0_l2_persistence,4.076564619048757,4.110719620321622,0.028249737423879755,0.028249737423879755
Nested Spheres,topo_h0_entropy,4.023677012039005,4.022243808460664,-0.07510722437110864,0.07510722437110864
Nested Spheres,topo_h1_count,18.946127946127945,18.544303797468356,-0.13286578143781713,0.13286578143781713
Nested Spheres,topo_h1_max_persistence,0.31627134421859127,0.31748118694824506,0.009439884624896247,0.009439884624896247
Nested Spheres,topo_h1_total_persistence,1.9524303030987782,1.918172944195663,-0.043560621074348285,0.043560621074348285
Nested Spheres,topo_h1_l2_persistence,0.5845155948345554,0.5833621322183256,-0.00522035421836719,0.00522035421836719
Nested Spheres,topo_h1_entropy,2.577314732242376,2.5575870137686953,-0.09962166137993086,0.09962166137993086
Blobs,topo_h0_count,88.0,88.0,0.0,0.0
Blobs,topo_h0_max_persistence,3.167485681226698,2.5006040732065835,-1.172243345425648,1.172243345425648
Blobs,topo_h0_total_persistence,130.56038419753312,100.33243824677034,-1.1769781174959144,1.1769781174959144
Blobs,topo_h0_l2_persistence,14.944892335092417,11.677409580343744,-1.189636203249814,1.189636203249814
Blobs,topo_h0_entropy,4.394757804245639,4.373211935383948,-0.5987021804511721,0.5987021804511721
Blobs,topo_h1_count,30.56271186440678,29.272727272727273,-0.2494735100574938,0.2494735100574938
Blobs,topo_h1_max_persistence,1.2376024931164111,0.8822724277322943,-1.0058295268629378,1.0058295268629378
Blobs,topo_h1_total_persistence,10.669162381402517,7.6519625033393055,-0.8374997981073095,0.8374997981073095
Blobs,topo_h1_l2_persistence,2.5953342814277347,1.8695698523390714,-0.9573008447137308,0.9573008447137308
Blobs,topo_h1_entropy,3.0147772166616496,2.960180758242672,-0.2595699753332937,0.2595699753332937
