betti,condition,count,layer,max_persistence,mean_persistence,sample_id,total_persistence
H0,adv_l2_eps=0.2,199.0,fc2,0.746597170829773,0.27130683683720064,3,53.99006053060293
H1,adv_l2_eps=0.2,52.0,fc2,0.6769217252731323,0.11267379499398746,3,5.859037339687347
H0,adv_l2_eps=0.2,199.0,fc3,1.280189871788025,0.3557717402713682,3,70.79857631400228
H1,adv_l2_eps=0.2,47.0,fc3,0.546465277671814,0.13138200247541387,3,6.174954116344452
H0,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,3,0.0
H1,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,3,0.0
H0,adv_l2_eps=0.4,199.0,input,0.36418986320495605,0.17078544682912042,3,33.98630391899496
H1,adv_l2_eps=0.4,71.0,input,0.2825695872306824,0.0645861262062066,3,4.585614960640669
H0,adv_l2_eps=0.4,199.0,fc1,0.4837365746498108,0.2261482532412263,3,45.003502395004034
H1,adv_l2_eps=0.4,69.0,fc1,0.532050609588623,0.08493604813364969,3,5.8605873212218285
H0,adv_l2_eps=0.4,199.0,fc2,0.746597170829773,0.27130683683720064,3,53.99006053060293
H1,adv_l2_eps=0.4,52.0,fc2,0.6769217252731323,0.11267379499398746,3,5.859037339687347
H0,adv_l2_eps=0.4,199.0,fc3,1.280189871788025,0.3557717402713682,3,70.79857631400228
H1,adv_l2_eps=0.4,47.0,fc3,0.546465277671814,0.13138200247541387,3,6.174954116344452
H0,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,3,0.0
H1,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,3,0.0
H0,adv_linf_eps=0.2,199.0,input,0.849107027053833,0.4164765294472776,4,82.87882936000824
H1,adv_linf_eps=0.2,76.0,input,1.1887443661689758,0.17645486522662013,4,13.41056975722313
H0,adv_linf_eps=0.2,199.0,fc1,1.4202488660812378,0.6152828499000875,4,122.44128713011742
H1,adv_linf_eps=0.2,75.0,fc1,1.2220128774642944,0.23382071256637574,4,17.53655344247818
H0,adv_linf_eps=0.2,199.0,fc2,1.927334189414978,0.8278188399933092,4,164.73594915866852
H1,adv_linf_eps=0.2,68.0,fc2,1.8901646137237549,0.34131379688487334,4,23.209338188171387
H0,adv_linf_eps=0.2,199.0,fc3,3.545588254928589,1.2789990819578794,4,254.520817309618
H1,adv_linf_eps=0.2,64.0,fc3,1.7744853496551514,0.44974503945559263,4,28.78368252515793
H0,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,4,0.0
H1,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,4,0.0
H0,adv_linf_eps=0.4,199.0,input,0.849107027053833,0.4164765294472776,4,82.87882936000824
H1,adv_linf_eps=0.4,76.0,input,1.1887443661689758,0.17645486522662013,4,13.41056975722313
H0,adv_linf_eps=0.4,199.0,fc1,1.4202488660812378,0.6152828499000875,4,122.44128713011742
H1,adv_linf_eps=0.4,75.0,fc1,1.2220128774642944,0.23382071256637574,4,17.53655344247818
H0,adv_linf_eps=0.4,199.0,fc2,1.927334189414978,0.8278188399933092,4,164.73594915866852
H1,adv_linf_eps=0.4,68.0,fc2,1.8901646137237549,0.34131379688487334,4,23.209338188171387
H0,adv_linf_eps=0.4,199.0,fc3,3.545588254928589,1.2789990819578794,4,254.520817309618
H1,adv_linf_eps=0.4,64.0,fc3,1.7744853496551514,0.44974503945559263,4,28.78368252515793
