H,condition,distance,layer,metric,sample_id
0,permutation_seed=15,14.158454850316048,fc2,wasserstein,0
1,permutation_seed=15,12.904198615288102,fc2,wasserstein,0
0,permutation_seed=15,30.043459065258503,fc3,wasserstein,0
1,permutation_seed=15,13.626983247174403,fc3,wasserstein,0
0,permutation_seed=15,0.0,pooled,wasserstein,0
1,permutation_seed=15,0.0,pooled,wasserstein,0
0,permutation_seed=16,9.042726695537567,fc1,wasserstein,0
1,permutation_seed=16,8.529336934156094,fc1,wasserstein,0
0,permutation_seed=16,22.972069641259637,fc2,wasserstein,0
1,permutation_seed=16,12.84355845990099,fc2,wasserstein,0
0,permutation_seed=16,26.397806013824717,fc3,wasserstein,0
1,permutation_seed=16,9.857962927104861,fc3,wasserstein,0
0,permutation_seed=16,0.0,pooled,wasserstein,0
1,permutation_seed=16,0.0,pooled,wasserstein,0
0,permutation_seed=17,10.305937921862563,fc1,wasserstein,0
1,permutation_seed=17,9.528806166046277,fc1,wasserstein,0
0,permutation_seed=17,13.567051827907562,fc2,wasserstein,0
1,permutation_seed=17,11.048774766755217,fc2,wasserstein,0
0,permutation_seed=17,23.083832129836082,fc3,wasserstein,0
1,permutation_seed=17,10.031639306458338,fc3,wasserstein,0
0,permutation_seed=17,0.0,pooled,wasserstein,0
1,permutation_seed=17,0.0,pooled,wasserstein,0
0,permutation_seed=18,9.346039731402918,fc1,wasserstein,0
1,permutation_seed=18,11.35451633197824,fc1,wasserstein,0
0,permutation_seed=18,29.00513982027769,fc2,wasserstein,0
1,permutation_seed=18,13.6682986636494,fc2,wasserstein,0
0,permutation_seed=18,30.606477131665958,fc3,wasserstein,0
1,permutation_seed=18,11.335774973803309,fc3,wasserstein,0
0,permutation_seed=18,0.0,pooled,wasserstein,0
1,permutation_seed=18,0.0,pooled,wasserstein,0
0,permutation_seed=19,7.934636779129505,fc1,wasserstein,0
1,permutation_seed=19,9.818432575904154,fc1,wasserstein,0
0,permutation_seed=19,17.848860502243042,fc2,wasserstein,0
1,permutation_seed=19,12.79570561987985,fc2,wasserstein,0
0,permutation_seed=19,37.809521142561664,fc3,wasserstein,0
1,permutation_seed=19,10.09432759889688,fc3,wasserstein,0
0,permutation_seed=19,0.0,pooled,wasserstein,0
1,permutation_seed=19,0.0,pooled,wasserstein,0
0,permutation_seed=20,11.97761358320713,fc1,wasserstein,0
1,permutation_seed=20,10.395050282466999,fc1,wasserstein,0
0,permutation_seed=20,17.965949045430293,fc2,wasserstein,0
1,permutation_seed=20,12.952831626972776,fc2,wasserstein,0
0,permutation_seed=20,29.517336556532406,fc3,wasserstein,0
1,permutation_seed=20,10.246494431020468,fc3,wasserstein,0
0,permutation_seed=20,0.0,pooled,wasserstein,0
1,permutation_seed=20,0.0,pooled,wasserstein,0
0,permutation_seed=21,10.249604885020108,fc1,wasserstein,0
1,permutation_seed=21,8.503748800594938,fc1,wasserstein,0
0,permutation_seed=21,13.632092453539371,fc2,wasserstein,0
1,permutation_seed=21,12.956666135460482,fc2,wasserstein,0
0,permutation_seed=21,24.835422937772364,fc3,wasserstein,0
1,permutation_seed=21,10.182188216129802,fc3,wasserstein,0
0,permutation_seed=21,0.0,pooled,wasserstein,0
1,permutation_seed=21,0.0,pooled,wasserstein,0
