condition,layer,homology,mean_wasserstein,std_wasserstein,n
permutation_seed=21,fc3,H1,9.944318006052814,4.660848285938601,80
permutation_seed=21,pooled,H0,0.0,0.0,80
permutation_seed=21,pooled,H1,0.0,0.0,80
permutation_seed=22,fc1,H0,9.141145426897122,3.9614898456689787,80
permutation_seed=22,fc1,H1,7.457052888501674,4.40863296996329,80
permutation_seed=22,fc2,H0,15.469791906118084,6.685997151872954,80
permutation_seed=22,fc2,H1,10.797134322255676,6.086217154408896,80
permutation_seed=22,fc3,H0,22.303129504224977,8.252002222698056,80
permutation_seed=22,fc3,H1,10.220568519236151,4.887037211075444,80
permutation_seed=22,pooled,H0,0.0,0.0,80
permutation_seed=22,pooled,H1,0.0,0.0,80
permutation_seed=23,fc1,H0,9.189203972536601,4.33008723770515,80
permutation_seed=23,fc1,H1,7.564403715201688,4.555042806870783,80
permutation_seed=23,fc2,H0,13.60827416021731,5.54278058248159,80
permutation_seed=23,fc2,H1,10.459902716616806,5.864172354264522,80
permutation_seed=23,fc3,H0,23.44854266177185,8.71741072701629,80
permutation_seed=23,fc3,H1,10.434201604578115,5.195250762206844,80
permutation_seed=23,pooled,H0,0.0,0.0,80
permutation_seed=23,pooled,H1,0.0,0.0,80
permutation_seed=24,fc1,H0,9.306696143361744,4.047785832645303,80
permutation_seed=24,fc1,H1,7.49787505440321,4.45292001233317,80
permutation_seed=24,fc2,H0,14.253869346399483,5.136744585605468,80
permutation_seed=24,fc2,H1,10.464442152620084,5.912803647076824,80
permutation_seed=24,fc3,H0,22.299337075107935,9.446214976847475,80
permutation_seed=24,fc3,H1,10.06456368159506,4.993526632322242,80
permutation_seed=24,pooled,H0,0.0,0.0,80
permutation_seed=24,pooled,H1,0.0,0.0,80
permutation_seed=25,fc1,H0,9.511049764823026,4.526058266129158,80
permutation_seed=25,fc1,H1,7.60945986655553,4.519468674446627,80
permutation_seed=25,fc2,H0,14.945661110104641,6.273354861485482,80
permutation_seed=25,fc2,H1,10.397401948849033,5.892828378882868,80
permutation_seed=25,fc3,H0,22.0172547800686,9.475653120974963,80
permutation_seed=25,fc3,H1,10.173359783248376,4.871188835323661,80
permutation_seed=25,pooled,H0,0.0,0.0,80
permutation_seed=25,pooled,H1,0.0,0.0,80
permutation_seed=26,fc1,H0,9.393988449125308,4.085044428587355,80
permutation_seed=26,fc1,H1,7.4026805304709,4.434812743878516,80
permutation_seed=26,fc2,H0,15.192970335939886,6.688836024483621,80
permutation_seed=26,fc2,H1,10.449457642599068,6.101843773426354,80
permutation_seed=26,fc3,H0,23.51419623502148,10.922816974883307,80
permutation_seed=26,fc3,H1,10.173009901277721,4.906261064886594,80
permutation_seed=26,pooled,H0,0.0,0.0,80
permutation_seed=26,pooled,H1,0.0,0.0,80
permutation_seed=27,fc1,H0,8.884157101988388,4.140862606969439,80
permutation_seed=27,fc1,H1,7.761202901673085,4.593481817289542,80
permutation_seed=27,fc2,H0,15.240132439575632,6.426348623851639,80
permutation_seed=27,fc2,H1,10.95870778919817,6.242432626095672,80
permutation_seed=27,fc3,H0,23.126281037772735,11.078106970269225,80
permutation_seed=27,fc3,H1,10.171122099923208,4.677349815982284,80
permutation_seed=27,pooled,H0,0.0,0.0,80
permutation_seed=27,pooled,H1,0.0,0.0,80
permutation_seed=28,fc1,H0,9.209535684948388,4.307784995477492,80
permutation_seed=28,fc1,H1,7.753115777907205,4.7824413729139845,80
permutation_seed=28,fc2,H0,14.441783763015163,5.892380695128185,80
permutation_seed=28,fc2,H1,10.650925282673402,6.086521878914016,80
permutation_seed=28,fc3,H0,24.7020673177914,9.212595487918017,80
permutation_seed=28,fc3,H1,9.961616568833792,4.757162489089183,80
permutation_seed=28,pooled,H0,0.0,0.0,80
permutation_seed=28,pooled,H1,0.0,0.0,80
permutation_seed=29,fc1,H0,8.943214960008307,3.6830496889578517,80
permutation_seed=29,fc1,H1,7.608772240958251,4.484103622861917,80
permutation_seed=29,fc2,H0,14.898678437318353,5.218640512046116,80
permutation_seed=29,fc2,H1,10.602731355028778,6.016309758782115,80
permutation_seed=29,fc3,H0,22.531703768204494,9.944930724542644,80
permutation_seed=29,fc3,H1,10.421200720846958,5.007847893845254,80
permutation_seed=29,pooled,H0,0.0,0.0,80
permutation_seed=29,pooled,H1,0.0,0.0,80
permutation_seed=3,fc1,H0,8.695860101784584,3.4739718894555263,80
permutation_seed=3,fc1,H1,7.5849390408891155,4.587828050752617,80
permutation_seed=3,fc2,H0,15.708152952697187,6.462333193404086,80
permutation_seed=3,fc2,H1,10.429229676618595,5.902221239342321,80
permutation_seed=3,fc3,H0,21.44848700802311,8.672960838999307,80
permutation_seed=3,fc3,H1,10.027325479895095,4.865664714710632,80
permutation_seed=3,pooled,H0,0.0,0.0,80
permutation_seed=3,pooled,H1,0.0,0.0,80
permutation_seed=4,fc1,H0,9.124187074269114,4.02900565380856,80
permutation_seed=4,fc1,H1,7.540001767611116,4.537807178924933,80
permutation_seed=4,fc2,H0,14.457425555917231,6.81428529514453,80
permutation_seed=4,fc2,H1,10.630980515268428,6.067802416295399,80
permutation_seed=4,fc3,H0,22.60361276696775,9.768463795212107,80
permutation_seed=4,fc3,H1,10.160395816595884,4.8975938588739085,80
permutation_seed=4,pooled,H0,0.0,0.0,80
permutation_seed=4,pooled,H1,0.0,0.0,80
permutation_seed=5,fc1,H0,9.735338615321492,4.534563185801696,80
permutation_seed=5,fc1,H1,7.866906985126583,4.796909984819933,80
permutation_seed=5,fc2,H0,15.443288582701324,5.914860643816267,80
permutation_seed=5,fc2,H1,10.548599269152337,5.838012711112499,80
permutation_seed=5,fc3,H0,23.846108196679637,9.80885898118844,80
permutation_seed=5,fc3,H1,10.233100947654023,4.831866542882686,80
permutation_seed=5,pooled,H0,0.0,0.0,80
permutation_seed=5,pooled,H1,0.0,0.0,80
permutation_seed=6,fc1,H0,9.18411349586787,3.95009353415586,80
permutation_seed=6,fc1,H1,7.454888141962513,4.442172048490749,80
permutation_seed=6,fc2,H0,14.155464226918872,5.310058730929161,80
permutation_seed=6,fc2,H1,10.629621789915966,6.144141463948471,80
permutation_seed=6,fc3,H0,23.57265271756206,9.836236918534079,80
permutation_seed=6,fc3,H1,10.154491953037518,4.950804059582803,80
permutation_seed=6,pooled,H0,0.0,0.0,80
permutation_seed=6,pooled,H1,0.0,0.0,80
permutation_seed=7,fc1,H0,9.642228591427104,4.873384782710207,80
permutation_seed=7,fc1,H1,7.765053335386163,4.677581700977792,80
permutation_seed=7,fc2,H0,15.50255705027649,6.266919193333374,80
permutation_seed=7,fc2,H1,10.75720356654622,6.162901522006955,80
permutation_seed=7,fc3,H0,23.465661818577452,9.915739639477602,80
permutation_seed=7,fc3,H1,10.251542553528957,5.022174741348528,80
permutation_seed=7,pooled,H0,0.0,0.0,80
permutation_seed=7,pooled,H1,0.0,0.0,80
permutation_seed=8,fc1,H0,9.285083838426987,4.158638502218659,80
permutation_seed=8,fc1,H1,7.617987207415571,4.535459597714809,80
permutation_seed=8,fc2,H0,14.62608076544684,6.011128366074474,80
permutation_seed=8,fc2,H1,10.447796949465676,6.116857658702729,80
permutation_seed=8,fc3,H0,23.323896750418378,9.397577105048354,80
permutation_seed=8,fc3,H1,10.098660090721555,4.902433550599933,80
permutation_seed=8,pooled,H0,0.0,0.0,80
permutation_seed=8,pooled,H1,0.0,0.0,80
permutation_seed=9,fc1,H0,8.932844487021633,3.991147343144503,80
permutation_seed=9,fc1,H1,7.638666698990738,4.564123539755302,80
permutation_seed=9,fc2,H0,13.894745624369822,5.202021732289592,80
permutation_seed=9,fc2,H1,10.323726797679496,5.921447167348019,80
permutation_seed=9,fc3,H0,21.77492731649886,8.593883584563457,80
permutation_seed=9,fc3,H1,10.27574599889144,4.924527263355173,80
permutation_seed=9,pooled,H0,0.0,0.0,80
permutation_seed=9,pooled,H1,0.0,0.0,80
